vintage,score,release_price,bottle_name,winery,review_text,Magazine,review_link,region,source,varietal,wine_id
2021,88,$20,Rosé Oregon,Elouan,"Juicy and easygoing, with raspberry and toasty spice flavors. Drink now. 6,900 cases made.",Magazine Issue Web Only - 2022,https://www.winespectator.com/wine/wine-detail/id/1288408/name/elouan-ros%C3%A9-oregon-2021,['Oregon'],Wine Spectator,Rosé Wines,1288408
2021,88,$19,Pinot Noir Willamette Valley Rosé,King Estate,"Sleek and snappy, with expressive strawberry and watermelon flavors. Drink now. 4,000 cases made.","Magazine Issue Jul 31, 2022",https://www.winespectator.com/wine/wine-detail/id/1288095/name/king-estate-pinot-noir-willamette-valley-ros%C3%A9-2021,"['Oregon', 'Willamette Valley']",Wine Spectator,Rosé Wines,1288095
2021,87,$28,Pinot Noir Chehalem Mountains Rosé,Chehalem,"Delicate and soft, with strawberry and peach flavors. Drink now. 2,860 cases made.",Magazine Issue Web Only - 2022,https://www.winespectator.com/wine/wine-detail/id/1288806/name/chehalem-pinot-noir-chehalem-mountains-ros%C3%A9-2021,"['Oregon', 'Willamette Valley', 'Chehalem Mountains']",Wine Spectator,Rosé Wines,1288806
2021,87,$28,Pinot Noir Willamette Valley Rosé,Stoller,"Pretty and delicate, with floral strawberry and peach flavors. Drink now. 13,850 cases made.",Magazine Issue Web Only - 2022,https://www.winespectator.com/wine/wine-detail/id/1288816/name/stoller-pinot-noir-willamette-valley-ros%C3%A9-2021,"['Oregon', 'Willamette Valley']",Wine Spectator,Rosé Wines,1288816
2021,88,$20,Rosé Oregon,Elouan,"Juicy and easygoing, with raspberry and toasty spice flavors. Drink now. 6,900 cases made.",Magazine Issue Web Only - 2022,https://www.winespectator.com/wine/wine-detail/id/1288408/name/elouan-ros%C3%A9-oregon-2021,['Oregon'],Wine Spectator,Pinot Noir,1288408
2021,88,$19,Pinot Noir Willamette Valley Rosé,King Estate,"Sleek and snappy, with expressive strawberry and watermelon flavors. Drink now. 4,000 cases made.","Magazine Issue Jul 31, 2022",https://www.winespectator.com/wine/wine-detail/id/1288095/name/king-estate-pinot-noir-willamette-valley-ros%C3%A9-2021,"['Oregon', 'Willamette Valley']",Wine Spectator,Pinot Noir,1288095
2021,87,$28,Pinot Noir Chehalem Mountains Rosé,Chehalem,"Delicate and soft, with strawberry and peach flavors. Drink now. 2,860 cases made.",Magazine Issue Web Only - 2022,https://www.winespectator.com/wine/wine-detail/id/1288806/name/chehalem-pinot-noir-chehalem-mountains-ros%C3%A9-2021,"['Oregon', 'Willamette Valley', 'Chehalem Mountains']",Wine Spectator,Pinot Noir,1288806
2021,87,$28,Pinot Noir Willamette Valley Rosé,Stoller,"Pretty and delicate, with floral strawberry and peach flavors. Drink now. 13,850 cases made.",Magazine Issue Web Only - 2022,https://www.winespectator.com/wine/wine-detail/id/1288816/name/stoller-pinot-noir-willamette-valley-ros%C3%A9-2021,"['Oregon', 'Willamette Valley']",Wine Spectator,Pinot Noir,1288816
2020,94,$38,Chardonnay Eola-Amity Hills,Drouhin Oregon Roserock,"Opulent and refined, with a vibrant core of acidity framed by pear, cantaloupe and toasty spice flavors that build depth and richness on the savory finish. Drink now. Tasted twice, with consistent notes. 1,557 cases made.","Magazine Issue Aug 31, 2022",https://www.winespectator.com/wine/wine-detail/id/1287965/name/drouhin-oregon-roserock-chardonnay-eola-amity-hills-2020,"['Oregon', 'Willamette Valley', 'Eola-Amity Hills']",Wine Spectator,Chardonnay,1287965
2020,93,$40,Chardonnay Dundee Hills Arthur,Domaine Drouhin,"Expressive and delicately complex, with apple blossom, orange peel and zesty spice flavors that finish with a fresh lift of acidity. Drink now. 1,982 cases made.","Magazine Issue Aug 31, 2022",https://www.winespectator.com/wine/wine-detail/id/1287966/name/domaine-drouhin-chardonnay-dundee-hills-arthur-2020,"['Oregon', 'Willamette Valley', 'Dundee Hills']",Wine Spectator,Chardonnay,1287966
2020,92,$50,Chardonnay Willamette Valley Affinités,Nicolas-Jay,"Handsomely built, with deep and multilayered flavors of tropical fruit and orange peel accented by dusky spice and hints of mineral. Drink now. 359 cases made.","Magazine Issue Nov 15, 2022",https://www.winespectator.com/wine/wine-detail/id/1291045/name/nicolas-jay-chardonnay-willamette-valley-affinit%C3%A9s-2020,"['Oregon', 'Willamette Valley']",Wine Spectator,Chardonnay,1291045
2020,91,$20,Chardonnay Willamette Valley Inox Unoaked,Chehalem,"This white bursts with aromas of peach blossom and lemon zest, taking on a lush, succulent texture toward a crisp finish. Drink now. 5,900 cases made.","Magazine Issue Nov 30, 2021",https://www.winespectator.com/wine/wine-detail/id/1279811/name/chehalem-chardonnay-willamette-valley-inox-unoaked-2020,"['Oregon', 'Willamette Valley']",Wine Spectator,Chardonnay,1279811
2020,91,$35,Chardonnay Willamette Valley,Siduri,"Generous and plump with fruit, offering rich tropical fruit and apricot flavors that sail on a long, supple finish. Drink now. 3,610 cases made.","Magazine Issue Nov 15, 2022",https://www.winespectator.com/wine/wine-detail/id/1289532/name/siduri-chardonnay-willamette-valley-2020,"['Oregon', 'Willamette Valley']",Wine Spectator,Chardonnay,1289532
2020,90,$69,Chardonnay Willamette Valley Maple Grove,Hamilton Russell,"Snappy and refreshing, with apricot and pear flavors that are laced with spice and linger on the supple finish. Drink now. 230 cases made.","Magazine Issue Aug 31, 2022",https://www.winespectator.com/wine/wine-detail/id/1288391/name/hamilton-russell-chardonnay-willamette-valley-maple-grove-2020,"['Oregon', 'Willamette Valley']",Wine Spectator,Chardonnay,1288391
2020,90,$42,Chardonnay Dundee Hills,Sokol Blosser,"Generous and multilayered, with pretty apple and lemon flavors that take on blanched almond and peach. Drink now. 724 cases made.","Magazine Issue Nov 15, 2022",https://www.winespectator.com/wine/wine-detail/id/1290370/name/sokol-blosser-chardonnay-dundee-hills-2020,"['Oregon', 'Willamette Valley', 'Dundee Hills']",Wine Spectator,Chardonnay,1290370
2020,90,$40,Chardonnay Dundee Hills Estate,Stoller,"Straightforward and appealing for the apple and toasty cinnamon flavors, which linger on the finish. Drink now. 871 cases made.","Magazine Issue Aug 31, 2022",https://www.winespectator.com/wine/wine-detail/id/1288817/name/stoller-chardonnay-dundee-hills-estate-2020,"['Oregon', 'Willamette Valley', 'Dundee Hills']",Wine Spectator,Chardonnay,1288817
2020,89,$22,Chardonnay Rogue Valley,Del Rio,"An elegantly structured Chardonnay, with quaffable tropical fruit flavors. Drink now. 1,659 cases made.","Magazine Issue Apr 30, 2022",https://www.winespectator.com/wine/wine-detail/id/1286081/name/del-rio-chardonnay-rogue-valley-2020,"['Oregon', 'Southern Oregon', 'Rogue Valley']",Wine Spectator,Chardonnay,1286081
2020,89,$36,Brut Willamette Valley Bluebird Cuvée,Sokol Blosser,"Snappy and beautifully floral, with kiwi and lime flavors laced with nutty spices. Pinot Noir, Chardonnay, Riesling, Müller Thurgau and Muscat. Drink now. 1,720 cases made.",Magazine Issue Web Only - 2022,https://www.winespectator.com/wine/wine-detail/id/1292909/name/sokol-blosser-brut-willamette-valley-bluebird-cuv%C3%A9e-2020,"['Oregon', 'Willamette Valley']",Wine Spectator,Chardonnay,1292909
2020,89,$25,Chardonnay Dundee Hills,Stoller,"Crisp yet supple, with generous tropical fruit and spice flavors that flesh out on a long finish. Drink now. 7,000 cases made.","Magazine Issue Mar 31, 2022",https://www.winespectator.com/wine/wine-detail/id/1283818/name/stoller-chardonnay-dundee-hills-2020,"['Oregon', 'Willamette Valley', 'Dundee Hills']",Wine Spectator,Chardonnay,1283818
2020,88,$21,Chardonnay Willamette Valley,King Estate,"Generous and zesty, with apple and lime flavors that finish on a spicy accent. Drink now through 2024. 1,800 cases made.",Magazine Issue Web Only - 2022,https://www.winespectator.com/wine/wine-detail/id/1285110/name/king-estate-chardonnay-willamette-valley-2020,"['Oregon', 'Willamette Valley']",Wine Spectator,Chardonnay,1285110
2020,87,$16,Chardonnay Oregon,Acrobat,"Snappy and vibrant, with easygoing pear and caramel accents. Drink now. 5,200 cases made.","Magazine Issue Mar 31, 2022",https://www.winespectator.com/wine/wine-detail/id/1284694/name/acrobat-chardonnay-oregon-2020,['Oregon'],Wine Spectator,Chardonnay,1284694
2020,84,$16,Chardonnay Oregon,A to Z Wineworks,"Juicy and tutti-frutti, offering lively tropical fruit and spice cinnamon flavors. Drink now. 32,600 cases made.",Magazine Issue Web Only - 2021,https://www.winespectator.com/wine/wine-detail/id/1280514/name/a-to-z-wineworks-chardonnay-oregon-2020,['Oregon'],Wine Spectator,Chardonnay,1280514
2020,81,$14,Chardonnay Willamette Valley,Wine By Joe,"Simple and innocuous, with tropical fruit and earthy mineral accents. Drink now. 875 cases made.",Magazine Issue Web Only - 2022,https://www.winespectator.com/wine/wine-detail/id/1286370/name/wine-by-joe-chardonnay-willamette-valley-2020,"['Oregon', 'Willamette Valley']",Wine Spectator,Chardonnay,1286370
2020,88,$17,Grenache Rogue Valley Rosé,Del Rio,"Fresh and zesty, with lively watermelon, strawberry and spice flavors. Drink now. 1,196 cases made.","Magazine Issue Jul 31, 2021",https://www.winespectator.com/wine/wine-detail/id/1277525/name/del-rio-grenache-rogue-valley-ros%C3%A9-2020,"['Oregon', 'Southern Oregon', 'Rogue Valley']",Wine Spectator,Grenache,1277525
2020,87,$17,Rosé GSM Rogue Valley,Quady North,"Offers zesty and savory watermelon and strawberry flavors. Grenache, Syrah and Mourvèdre. Drink now. 2,000 cases made.","Magazine Issue Jul 31, 2021",https://www.winespectator.com/wine/wine-detail/id/1278468/name/quady-north-ros%C3%A9-gsm-rogue-valley-2020,"['Oregon', 'Southern Oregon', 'Rogue Valley']",Wine Spectator,Grenache,1278468
2020,89,$20,Pinot Gris Chehalem Mountains,Chehalem,"Supple and pretty, with lemon and nectarine flavors that linger. Drink now. 2,590 cases made.",Magazine Issue Web Only - 2021,https://www.winespectator.com/wine/wine-detail/id/1283816/name/chehalem-pinot-gris-chehalem-mountains-2020,"['Oregon', 'Willamette Valley', 'Chehalem Mountains']",Wine Spectator,Pinot Gris,1283816
2020,89,$19,Pinot Gris Willamette Valley,Elk Cove,"Expressive aromas of lime and jasmine flower open this version, with appealing stone fruit and spice flavors that finish on a lush accent. Drink now. 11,696 cases made.",Magazine Issue Web Only - 2021,https://www.winespectator.com/wine/wine-detail/id/1283113/name/elk-cove-pinot-gris-willamette-valley-2020,"['Oregon', 'Willamette Valley']",Wine Spectator,Pinot Gris,1283113
2020,89,$17,Pinot Gris Willamette Valley,Willamette Valley Vineyards,"A snappy white, this is clean and crisp, with lemon and lime flavors and spice accents. Drink now. 25,900 cases made.",Magazine Issue Web Only - 2021,https://www.winespectator.com/wine/wine-detail/id/1283380/name/willamette-valley-vineyards-pinot-gris-willamette-valley-2020,"['Oregon', 'Willamette Valley']",Wine Spectator,Pinot Gris,1283380
2020,87,$16,Pinot Gris Oregon,A to Z Wineworks,"A juicy quaff that only vaguely tastes like Pinot Grigio, but this is plump with tropical fruit flavors. Drink now. 41,000 cases made.",Magazine Issue Web Only - 2021,https://www.winespectator.com/wine/wine-detail/id/1280513/name/a-to-z-wineworks-pinot-gris-oregon-2020,['Oregon'],Wine Spectator,Pinot Gris,1280513
2020,84,$16,Pinot Gris Willamette Valley,Iris Vineyards,"Fresh yet simple, with kiwi and lemon verbena flavors. Drink now. 1,300 cases made.",Magazine Issue Web Only - 2022,https://www.winespectator.com/wine/wine-detail/id/1287393/name/iris-vineyards-pinot-gris-willamette-valley-2020,"['Oregon', 'Willamette Valley']",Wine Spectator,Pinot Gris,1287393
2020,82,$19,Pinot Gris Willamette Valley Vineyard Select,Raptor Ridge,"Understated but juicy, with citrus and spice flavors. Drink now. 1,163 cases made.",Magazine Issue Web Only - 2022,https://www.winespectator.com/wine/wine-detail/id/1288354/name/raptor-ridge-pinot-gris-willamette-valley-vineyard-select-2020,"['Oregon', 'Willamette Valley']",Wine Spectator,Pinot Gris,1288354
2020,81,$24,Pinot Gris Willamette Valley,Sokol Blosser,"Soft and simple, with hints of apple and tropical fruit. Drink now. 1,400 cases made.",Magazine Issue Web Only - 2022,https://www.winespectator.com/wine/wine-detail/id/1287992/name/sokol-blosser-pinot-gris-willamette-valley-2020,"['Oregon', 'Willamette Valley']",Wine Spectator,Pinot Gris,1287992
2020,89,$36,Brut Willamette Valley Bluebird Cuvée,Sokol Blosser,"Snappy and beautifully floral, with kiwi and lime flavors laced with nutty spices. Pinot Noir, Chardonnay, Riesling, Müller Thurgau and Muscat. Drink now. 1,720 cases made.",Magazine Issue Web Only - 2022,https://www.winespectator.com/wine/wine-detail/id/1292909/name/sokol-blosser-brut-willamette-valley-bluebird-cuv%C3%A9e-2020,"['Oregon', 'Willamette Valley']",Wine Spectator,Riesling,1292909
2020,88,$30,Riesling Chehalem Mountains Corral Creek Vineyard,Chehalem,"Snappy and refreshing, with bright lemon verbena, orange blossom and melon flavors that linger. Drink now. 159 cases made.","Magazine Issue Sep 30, 2022",https://www.winespectator.com/wine/wine-detail/id/1288809/name/chehalem-riesling-chehalem-mountains-corral-creek-vineyard-2020,"['Oregon', 'Willamette Valley', 'Chehalem Mountains']",Wine Spectator,Riesling,1288809
2020,87,$16,Riesling Oregon,A to Z Wineworks,"A fun quaff, slightly sweet, but loaded with kiwi, quince and spiced nut flavors that linger on a lush finish. Drink now. 26,115 cases made.",Magazine Issue Web Only - 2021,https://www.winespectator.com/wine/wine-detail/id/1277557/name/a-to-z-wineworks-riesling-oregon-2020,['Oregon'],Wine Spectator,Riesling,1277557
2020,90,$24,Pinot Noir Willamette Valley Rosé Bubbles,Planet Oregon,"A festive yet vibrant and well-built Pinot Noir, with lively strawberry, rose petal and stony mineral flavors that finish on a fresh upbeat accent. Drink now. 5,000 cases made.","Magazine Issue Dec 15, 2021",https://www.winespectator.com/wine/wine-detail/id/1282005/name/planet-oregon-pinot-noir-willamette-valley-ros%C3%A9-bubbles-2020,"['Oregon', 'Willamette Valley']",Wine Spectator,Rosé Wines,1282005
2020,88,$28,Rosé Pinot Noir Eola-Amity Hills,Cristom,"Crisp and delicate, with pretty strawberry blossom and watermelon accents. Drink now. 321 cases made.",Magazine Issue Web Only - 2021,https://www.winespectator.com/wine/wine-detail/id/1279054/name/cristom-ros%C3%A9-pinot-noir-eola-amity-hills-2020,"['Oregon', 'Willamette Valley', 'Eola-Amity Hills']",Wine Spectator,Rosé Wines,1279054
2020,88,$17,Grenache Rogue Valley Rosé,Del Rio,"Fresh and zesty, with lively watermelon, strawberry and spice flavors. Drink now. 1,196 cases made.","Magazine Issue Jul 31, 2021",https://www.winespectator.com/wine/wine-detail/id/1277525/name/del-rio-grenache-rogue-valley-ros%C3%A9-2020,"['Oregon', 'Southern Oregon', 'Rogue Valley']",Wine Spectator,Rosé Wines,1277525
2020,88,$20,Rosé Oregon,Elouan,"This festive pink is easy to drink, with strawberry, quince and toasty spice accents. Drink now. 5,500 cases made.",Magazine Issue Web Only - 2021,https://www.winespectator.com/wine/wine-detail/id/1278041/name/elouan-ros%C3%A9-oregon-2020,['Oregon'],Wine Spectator,Rosé Wines,1278041
2020,87,$17,Rosé GSM Rogue Valley,Quady North,"Offers zesty and savory watermelon and strawberry flavors. Grenache, Syrah and Mourvèdre. Drink now. 2,000 cases made.","Magazine Issue Jul 31, 2021",https://www.winespectator.com/wine/wine-detail/id/1278468/name/quady-north-ros%C3%A9-gsm-rogue-valley-2020,"['Oregon', 'Southern Oregon', 'Rogue Valley']",Wine Spectator,Rosé Wines,1278468
2020,86,$16,Rosé Oregon,A to Z Wineworks,"Delicate and easygoing, with floral cherry and spice flavors Sangiovese, Syrah, Zinfandel, Tempranillo and Malbec. Drink now. 9,868 cases made.",Magazine Issue Web Only - 2021,https://www.winespectator.com/wine/wine-detail/id/1277558/name/a-to-z-wineworks-ros%C3%A9-oregon-2020,['Oregon'],Wine Spectator,Rosé Wines,1277558
2020,87,$17,Rosé GSM Rogue Valley,Quady North,"Offers zesty and savory watermelon and strawberry flavors. Grenache, Syrah and Mourvèdre. Drink now. 2,000 cases made.","Magazine Issue Jul 31, 2021",https://www.winespectator.com/wine/wine-detail/id/1278468/name/quady-north-ros%C3%A9-gsm-rogue-valley-2020,"['Oregon', 'Southern Oregon', 'Rogue Valley']",Wine Spectator,Shiraz/Syrah,1278468
2020,86,$16,Rosé Oregon,A to Z Wineworks,"Delicate and easygoing, with floral cherry and spice flavors Sangiovese, Syrah, Zinfandel, Tempranillo and Malbec. Drink now. 9,868 cases made.",Magazine Issue Web Only - 2021,https://www.winespectator.com/wine/wine-detail/id/1277558/name/a-to-z-wineworks-ros%C3%A9-oregon-2020,['Oregon'],Wine Spectator,Shiraz/Syrah,1277558
2020,90,$24,Pinot Noir Willamette Valley Rosé Bubbles,Planet Oregon,"A festive yet vibrant and well-built Pinot Noir, with lively strawberry, rose petal and stony mineral flavors that finish on a fresh upbeat accent. Drink now. 5,000 cases made.","Magazine Issue Dec 15, 2021",https://www.winespectator.com/wine/wine-detail/id/1282005/name/planet-oregon-pinot-noir-willamette-valley-ros%C3%A9-bubbles-2020,"['Oregon', 'Willamette Valley']",Wine Spectator,Sparkling Wines,1282005
2020,89,$36,Brut Willamette Valley Bluebird Cuvée,Sokol Blosser,"Snappy and beautifully floral, with kiwi and lime flavors laced with nutty spices. Pinot Noir, Chardonnay, Riesling, Müller Thurgau and Muscat. Drink now. 1,720 cases made.",Magazine Issue Web Only - 2022,https://www.winespectator.com/wine/wine-detail/id/1292909/name/sokol-blosser-brut-willamette-valley-bluebird-cuv%C3%A9e-2020,"['Oregon', 'Willamette Valley']",Wine Spectator,Sparkling Wines,1292909
2020,94,$58,Pinot Noir McMinnville Hyland Vineyard,Soléna,"Elegantly structured and stylish, with vibrant raspberry, orange peel, cinnamon and other baking spices. Builds richness and tension toward refined tannins. Drink now through 2030. 300 cases made.","Magazine Issue Aug 31, 2022",https://www.winespectator.com/wine/wine-detail/id/1288404/name/sol%C3%A9na-pinot-noir-mcminnville-hyland-vineyard-2020,"['Oregon', 'Willamette Valley', 'McMinnville']",Wine Spectator,Pinot Noir,1288404
2020,93,$40,Pinot Noir Ribbon Ridge,Norris,"Supple and detailed, with multilayered red plum and pomegranate flavors highlighted by tea leaf and stony minerality as this builds tension toward refined tannins. Drink now through 2030. 477 cases made.","Magazine Issue Nov 15, 2022",https://www.winespectator.com/wine/wine-detail/id/1289910/name/norris-pinot-noir-ribbon-ridge-2020,"['Oregon', 'Willamette Valley', 'Ribbon Ridge']",Wine Spectator,Pinot Noir,1289910
2020,93,$40,Pinot Noir Dundee Hills Estate,Stoller,"This lovely red is elegantly complex and polished, with expressive cherry and raspberry flavors that are highlighted by orange peel and dusky spice notes and unfurl on the long, lush finish. Drink now through 2030. 2,239 cases made.","Magazine Issue Oct 15, 2022",https://www.winespectator.com/wine/wine-detail/id/1288819/name/stoller-pinot-noir-dundee-hills-estate-2020,"['Oregon', 'Willamette Valley', 'Dundee Hills']",Wine Spectator,Pinot Noir,1288819
2020,92,$58,Pinot Noir Yamhill-Carlton Domaine Danielle Laurent,Soléna,"A structured red, with a lively backbone of acidity that powers deep black raspberry, dusky spice and black tea flavors, which build toward broad-shouldered tannins. Drink now through 2030. 500 cases made.","Magazine Issue Jul 31, 2022",https://www.winespectator.com/wine/wine-detail/id/1288402/name/sol%C3%A9na-pinot-noir-yamhill-carlton-domaine-danielle-laurent-2020,"['Oregon', 'Willamette Valley', 'Yamhill-Carlton']",Wine Spectator,Pinot Noir,1288402
2020,90,$24,Pinot Noir Willamette Valley Rosé Bubbles,Planet Oregon,"A festive yet vibrant and well-built Pinot Noir, with lively strawberry, rose petal and stony mineral flavors that finish on a fresh upbeat accent. Drink now. 5,000 cases made.","Magazine Issue Dec 15, 2021",https://www.winespectator.com/wine/wine-detail/id/1282005/name/planet-oregon-pinot-noir-willamette-valley-ros%C3%A9-bubbles-2020,"['Oregon', 'Willamette Valley']",Wine Spectator,Pinot Noir,1282005
2020,90,$30,Pinot Noir Willamette Valley Grande Cuvée,Soléna,"Well-built if a bit angular, this Pinot offers appealing raspberry, dusky spice and black tea flavors that finish with a tannic bite. Best from 2023 through 2030. 4,000 cases made.","Magazine Issue Sep 30, 2022",https://www.winespectator.com/wine/wine-detail/id/1288401/name/sol%C3%A9na-pinot-noir-willamette-valley-grande-cuv%C3%A9e-2020,"['Oregon', 'Willamette Valley']",Wine Spectator,Pinot Noir,1288401
2020,90,$55,Pinot Noir Yamhill-Carlton Shea Vineyard,Soléna,"Rather linear, revealing a tight beam of structure accented by hints of raspberry and dusky spice, with tannins that firm up the finish. Best after 2023. 250 cases made.","Magazine Issue Sep 30, 2022",https://www.winespectator.com/wine/wine-detail/id/1288403/name/sol%C3%A9na-pinot-noir-yamhill-carlton-shea-vineyard-2020,"['Oregon', 'Willamette Valley', 'Yamhill-Carlton']",Wine Spectator,Pinot Noir,1288403
2020,89,$30,Pinot Noir Chehalem Mountains,Chehalem,"Tart and snappy, this opens with appealing raspberry and cherry flavors but loses steam midpalate, finishing with savory, slightly grippy tannins. Drink now through 2027. 3,000 cases made.","Magazine Issue Nov 15, 2022",https://www.winespectator.com/wine/wine-detail/id/1288815/name/chehalem-pinot-noir-chehalem-mountains-2020,"['Oregon', 'Willamette Valley', 'Chehalem Mountains']",Wine Spectator,Pinot Noir,1288815
2020,89,$36,Brut Willamette Valley Bluebird Cuvée,Sokol Blosser,"Snappy and beautifully floral, with kiwi and lime flavors laced with nutty spices. Pinot Noir, Chardonnay, Riesling, Müller Thurgau and Muscat. Drink now. 1,720 cases made.",Magazine Issue Web Only - 2022,https://www.winespectator.com/wine/wine-detail/id/1292909/name/sokol-blosser-brut-willamette-valley-bluebird-cuv%C3%A9e-2020,"['Oregon', 'Willamette Valley']",Wine Spectator,Pinot Noir,1292909
2020,88,$28,Rosé Pinot Noir Eola-Amity Hills,Cristom,"Crisp and delicate, with pretty strawberry blossom and watermelon accents. Drink now. 321 cases made.",Magazine Issue Web Only - 2021,https://www.winespectator.com/wine/wine-detail/id/1279054/name/cristom-ros%C3%A9-pinot-noir-eola-amity-hills-2020,"['Oregon', 'Willamette Valley', 'Eola-Amity Hills']",Wine Spectator,Pinot Noir,1279054
2020,88,$32,Pinot Noir Rogue Valley,Del Rio,"Snappy and vibrant, with cherry, dried herb and spice notes that finish with a slight tannic bite. Drink now through 2026. 1,280 cases made.",Magazine Issue Web Only - 2022,https://www.winespectator.com/wine/wine-detail/id/1286082/name/del-rio-pinot-noir-rogue-valley-2020,"['Oregon', 'Southern Oregon', 'Rogue Valley']",Wine Spectator,Pinot Noir,1286082
2020,88,$22,Pinot Noir Oregon,Dough,"Easygoing but genuine to Pinot, with generous cherry and toasty spice flavors. Drink now through 2025. 9,000 cases made.",Magazine Issue Web Only - 2022,https://www.winespectator.com/wine/wine-detail/id/1284355/name/dough-pinot-noir-oregon-2020,['Oregon'],Wine Spectator,Pinot Noir,1284355
2020,88,$20,Rosé Oregon,Elouan,"This festive pink is easy to drink, with strawberry, quince and toasty spice accents. Drink now. 5,500 cases made.",Magazine Issue Web Only - 2021,https://www.winespectator.com/wine/wine-detail/id/1278041/name/elouan-ros%C3%A9-oregon-2020,['Oregon'],Wine Spectator,Pinot Noir,1278041
2020,88,$20,Pinot Noir Willamette Valley Inscription,King Estate,"Zesty and user-friendly, with snappy cherry, pomegranate and spicy herb flavors. Drink now through 2025. 9,000 cases made.","Magazine Issue Apr 30, 2022",https://www.winespectator.com/wine/wine-detail/id/1285416/name/king-estate-pinot-noir-willamette-valley-inscription-2020,"['Oregon', 'Willamette Valley']",Wine Spectator,Pinot Noir,1285416
