vintage,score,release_price,bottle_name,winery,review_text,Magazine,review_link,region,source,varietal,wine_id,Region
2011,91,$33,Chardonnay Eola-Amity Hills Nuthouse Reserve Series,Argyle,"Light, lithe and expressive, with pretty pear, white grapefruit and floral aromas and flavors. A slightly raw edge adds spin to the long finish. Drink now through 2017. 525 cases made.","Magazine Issue Feb 28, 2015",https://www.winespectator.com/wine/wine-detail/id/380222/name/argyle-chardonnay-eola-amity-hills-nuthouse-reserve-series-2011,"['Oregon', 'Willamette Valley', 'Eola-Amity Hills']",Wine Spectator,Chardonnay,380222,
2011,91,$35,Chardonnay Willamette Valley Old Stones,Bergström,"Tightly packed on a lively frame, showing restraint with its citrus, green pear and mineral flavors, which persist nicely on the expressive finish. Drink now through 2017. 1,222 cases made.","Magazine Issue Oct 31, 2013",https://www.winespectator.com/wine/wine-detail/id/351700/name/bergstr%C3%B6m-chardonnay-willamette-valley-old-stones-2011,"['Oregon', 'Willamette Valley']",Wine Spectator,Chardonnay,351700,
2011,91,$42,Chardonnay Willamette Valley,Big Table Farm,"Lively, fresh and distinctive for its aromatic accents of river stone and cardamom around a sleek core of lemon, white grapefruit and green apple flavors, persisting with finesse. Drink now through 2018. 136 cases made.","Magazine Issue Jul 31, 2013",https://www.winespectator.com/wine/wine-detail/id/345344/name/big-table-farm-chardonnay-willamette-valley-2011,"['Oregon', 'Willamette Valley']",Wine Spectator,Chardonnay,345344,
2011,91,$36,Chardonnay Ribbon Ridge Cascadia,Brick House,"Plush in texture, this white is broad but not weighty, exhibiting tangerine-accented pear and floral flavors that linger expressively on the open-weave finish. Drink now through 2017. 600 cases made.","Magazine Issue Dec 31, 2013",https://www.winespectator.com/wine/wine-detail/id/356182/name/brick-house-chardonnay-ribbon-ridge-cascadia-2011,"['Oregon', 'Willamette Valley', 'Ribbon Ridge']",Wine Spectator,Chardonnay,356182,
2011,91,$40,Chardonnay Dundee Hills Stoller Vineyards Ian's Reserve,Chehalem,"Aromatic, approachable and light-footed, with a delicacy to the ripe pear and floral flavors, finishing with a lingering creamy note. Drink now through 2017. 384 cases made.","Magazine Issue Jul 31, 2014",https://www.winespectator.com/wine/wine-detail/id/366367/name/chehalem-chardonnay-dundee-hills-stoller-vineyards-ian%27s-reserve-2011,"['Oregon', 'Willamette Valley', 'Dundee Hills']",Wine Spectator,Chardonnay,366367,
2011,91,$65,Chardonnay Dundee Hills Côte Sud Vineyard Dijon Clones,Domaine Serene,"Fresh and tangy, with juicy pineapple and pear flavors balanced with lively acidity and a mineral character, finishing with refreshing balance. Drink now through 2017. 100 cases made.","Magazine Issue Oct 15, 2014",https://www.winespectator.com/wine/wine-detail/id/370626/name/domaine-serene-chardonnay-dundee-hills-c%C3%B4te-sud-vineyard-dijon-clones-2011,"['Oregon', 'Willamette Valley', 'Dundee Hills']",Wine Spectator,Chardonnay,370626,
2011,91,$44,Chardonnay Chehalem Mountains Les Sols Arénacés,Lachini,"Vibrant, tangy and explosive in flavor, this is layered with grapefruit and melon notes that show hints of nectarine and savory herb as the finish persists. Drink now through 2018. 50 cases made.","Magazine Issue Feb 28, 2014",https://www.winespectator.com/wine/wine-detail/id/359822/name/lachini-chardonnay-chehalem-mountains-les-sols-ar%C3%A9nac%C3%A9s-2011,"['Oregon', 'Willamette Valley', 'Chehalem Mountains']",Wine Spectator,Chardonnay,359822,
2011,91,$30,Chardonnay Willamette Valley Reserve,Ponzi,"This fresh and inviting white is lean and lithe, with a crisp underpinning to the pear and honeysuckle flavors, lingering gently. Gains focus on the pinpoint finish. Drink now through 2016. 1,015 cases made.","Magazine Issue Dec 31, 2013",https://www.winespectator.com/wine/wine-detail/id/356188/name/ponzi-chardonnay-willamette-valley-reserve-2011,"['Oregon', 'Willamette Valley']",Wine Spectator,Chardonnay,356188,
2011,92,$30/375ml.,Pinot Gris Willamette Valley Sweet Harvest,Erath,"Sweet and silky, deftly balanced to let the pear, floral and honey flavors glide smoothly and effortlessly. Drink now through 2016. 133 cases made.","Magazine Issue Feb 28, 2013",https://www.winespectator.com/wine/wine-detail/id/336554/name/erath-pinot-gris-willamette-valley-sweet-harvest-2011,"['Oregon', 'Willamette Valley']",Wine Spectator,Dessert Wines,336554,
2011,91,$15,Pinot Gris Oregon Signature Collection Vin Glacé,King Estate,"Sweet and rich, with a deft stiletto of citrusy acidity balancing the opulent pineapple, fig and orange blossom flavors, lingering enticingly. Drink now through 2016. 800 cases made.","Magazine Issue Feb 28, 2013",https://www.winespectator.com/wine/wine-detail/id/336564/name/king-estate-pinot-gris-oregon-signature-collection-vin-glac%C3%A9-2011,['Oregon'],Wine Spectator,Dessert Wines,336564,
2011,90,$30/375ml.,Pinot Noir Willamette Valley Sweet Harvest,Erath,"Sweet and amiable, polished in texture and enticing, with guava, berry and cream flavors, lingering beautifully. Drink now through 2015. 145 cases made.","Magazine Issue Feb 28, 2013",https://www.winespectator.com/wine/wine-detail/id/336555/name/erath-pinot-noir-willamette-valley-sweet-harvest-2011,"['Oregon', 'Willamette Valley']",Wine Spectator,Dessert Wines,336555,
2011,88,$35/375ml.,Pinot Noir Ribbon Ridge Déglacé,Adelsheim,"Salmon-colored and syrupy sweet, with guava fruit and exotic spice notes that echo on the finish. Drink now. 465 cases made.","Magazine Issue Oct 31, 2013",https://www.winespectator.com/wine/wine-detail/id/352020/name/adelsheim-pinot-noir-ribbon-ridge-d%C3%A9glac%C3%A9-2011,"['Oregon', 'Willamette Valley', 'Ribbon Ridge']",Wine Spectator,Dessert Wines,352020,
2011,90,$40,Grenache Rogue Valley,Griffin Creek,"Appealing, with freshness and vitality to the guava and red berry flavors, which are well-shaped and point toward an open-textured, lingering finish. Has presence and a touch of pepper. Drink now through 2018. 313 cases made.","Magazine Issue Feb 28, 2015",https://www.winespectator.com/wine/wine-detail/id/379813/name/griffin-creek-grenache-rogue-valley-2011,"['Oregon', 'Southern Oregon', 'Rogue Valley']",Wine Spectator,Grenache,379813,
2011,90,$25,GSM Rogue Valley,Quady North,"Supple, open-textured and appealing, with guava and rhubarb flavors, finishing with spice and cream notes. Shows presence and refinement. Grenache, Syrah and Mourvèdre. Drink now through 2018. 200 cases made.","Magazine Issue Feb 28, 2014",https://www.winespectator.com/wine/wine-detail/id/359193/name/quady-north-gsm-rogue-valley-2011,"['Oregon', 'Southern Oregon', 'Rogue Valley']",Wine Spectator,Grenache,359193,
2011,88,$26,Grenache Southern Oregon,Glaser,"Bright and jazzy, with a lively mouthful of raspberry and floral flavors, lingering on the juicy finish. Drink now. 80 cases made.","Magazine Issue Feb 28, 2013",https://www.winespectator.com/wine/wine-detail/id/336558/name/glaser-grenache-southern-oregon-2011,"['Oregon', 'Southern Oregon']",Wine Spectator,Grenache,336558,
2011,87,$26,Grenache Southern Oregon,Pyrenees,"Light and silky, with guava and berry flavors set on a taut frame, lingering gently. Drink now. 237 cases made.","Magazine Issue Feb 28, 2014",https://www.winespectator.com/wine/wine-detail/id/359167/name/pyrenees-grenache-southern-oregon-2011,"['Oregon', 'Southern Oregon']",Wine Spectator,Grenache,359167,
2011,86,$25,Grenache Rogue Valley Bomba,Quady North,"Fresh and tangy, with juicy mulberry and lime flavors on a trim frame, persisting quietly. Drink now through 2016. 150 cases made.","Magazine Issue Feb 28, 2014",https://www.winespectator.com/wine/wine-detail/id/359192/name/quady-north-grenache-rogue-valley-bomba-2011,"['Oregon', 'Southern Oregon', 'Rogue Valley']",Wine Spectator,Grenache,359192,
2011,85,$45,Grenache Applegate Valley 42,Cowhorn,"Hard-edged, with a tangy feel to the blackberry and tomato leaf flavors, persisting on the finish. Drink now through 2016. 130 cases made.","Magazine Issue Feb 28, 2014",https://www.winespectator.com/wine/wine-detail/id/357745/name/cowhorn-grenache-applegate-valley-42-2011,"['Oregon', 'Southern Oregon', 'Applegate Valley']",Wine Spectator,Grenache,357745,
2011,91,$40,Malbec Rogue Valley,Griffin Creek,"This steely, minerally style offers black cherry fruit and layers of wet stone, wet earth and floral character. Has presence and a distinctively savory cast. The finish persists. Drink now through 2019. 447 cases made.","Magazine Issue Feb 28, 2015",https://www.winespectator.com/wine/wine-detail/id/379876/name/griffin-creek-malbec-rogue-valley-2011,"['Oregon', 'Southern Oregon', 'Rogue Valley']",Wine Spectator,Malbec,379876,
2011,87,$28,Malbec Southern Oregon,Pyrenees,"Taut and spicy, this medium-weight red offers nutmeg and lemon curd accents to the blackberry flavors, persisting on the peppery finish. Drink now through 2016. 331 cases made.","Magazine Issue Feb 28, 2014",https://www.winespectator.com/wine/wine-detail/id/357732/name/pyrenees-malbec-southern-oregon-2011,"['Oregon', 'Southern Oregon']",Wine Spectator,Malbec,357732,
2011,86,$30,Malbec Southern Oregon,Season Cellars,"Bright and refreshing, with floral and herbal notes overlaying the juicy currant fruit, finishing with firm tannins. Drink now through 2015. 199 cases made.","Magazine Issue Oct 15, 2013",https://www.winespectator.com/wine/wine-detail/id/351823/name/season-cellars-malbec-southern-oregon-2011,"['Oregon', 'Southern Oregon']",Wine Spectator,Malbec,351823,
2011,89,$23,Gamay Noir Eola-Amity Hills Seven Springs Vineyard,Evening Land,"Bright and vibrant, with a light frame, this red offers dark berry flavors and wet stone aromatics as the finish lingers. Drink now. 347 cases made.","Magazine Issue May 31, 2013",https://www.winespectator.com/wine/wine-detail/id/342210/name/evening-land-gamay-noir-eola-amity-hills-seven-springs-vineyard-2011,"['Oregon', 'Willamette Valley', 'Eola-Amity Hills']",Wine Spectator,Other Red Wines,342210,
2011,87,$60,Griffin Rogue Valley,Griffin Creek,"Supple, round and frankly herbal, with ripe cherry and plum flavors, overlaid with vegetal notes. May meld better given time. Cabernet Sauvignon, Cabernet Franc and Merlot. Drink now through 2019. 295 cases made.","Magazine Issue Feb 28, 2015",https://www.winespectator.com/wine/wine-detail/id/379938/name/griffin-creek-griffin-rogue-valley-2011,"['Oregon', 'Southern Oregon', 'Rogue Valley']",Wine Spectator,Other Red Wines,379938,
2011,85,$16,Merrilltage Rogue Valley,Merrill,"Dark and tangy, dense in texture, with a sharp edge to the red pepper and blackberry flavors, finishing with more savory notes than fruit. Cabernet Sauvignon, Cabernet Franc and Merlot. Best after 2014. 175 cases made.","Magazine Issue Feb 28, 2014",https://www.winespectator.com/wine/wine-detail/id/357716/name/merrill-merrilltage-rogue-valley-2011,"['Oregon', 'Southern Oregon', 'Rogue Valley']",Wine Spectator,Other Red Wines,357716,
2011,92,$85,Brut Willamette Valley Extended Tirage,Argyle,"A lovely bubbly that's rich and focused, offering luxurious baked pear, fresh ginger and warm yeast roll notes that glide on the polished finish. Drink now. 1,530 cases made.","Magazine Issue Jun 30, 2022",https://www.winespectator.com/wine/wine-detail/id/1287802/name/argyle-brut-willamette-valley-extended-tirage-2011,"['Oregon', 'Willamette Valley']",Wine Spectator,Other White Wines,1287802,
2011,91,$50,Brut Dundee Hills Knudsen Vineyard,Argyle,"Light and crisp, with smoky overtones to the pear and floral flavors, lingering on the sleek finish against precise effervescence. Drink now. 906 cases made.","Magazine Issue Jun 15, 2016",https://www.winespectator.com/wine/wine-detail/id/412502/name/argyle-brut-dundee-hills-knudsen-vineyard-2011,"['Oregon', 'Willamette Valley', 'Dundee Hills']",Wine Spectator,Other White Wines,412502,
2011,91,$55,Pinot Noir Willamette Valley Le Jour Magique White,Erath,"Dark gold in color, with temptingly spicy aromatics leading to a rich, vibrant mouthful of pear, strawberry and cardamom. Resembles a solid blanc de noirs sparkling wine without the fizz. Drink now through 2017. 223 cases made.","Magazine Issue Sep 30, 2013",https://www.winespectator.com/wine/wine-detail/id/350512/name/erath-pinot-noir-willamette-valley-le-jour-magique-white-2011,"['Oregon', 'Willamette Valley']",Wine Spectator,Other White Wines,350512,
2011,90,$60,Pinot Noir Yamhill-Carlton District Prismé Blanc,Anne Amie,"This generous version features notes of spice, melon, pear and cucumber as the finish comes together smoothly and persists against gentle acidity. Has presence and a distinctive range of flavors. Drink now through 2017. 260 cases made.","Magazine Issue Feb 28, 2015",https://www.winespectator.com/wine/wine-detail/id/379972/name/anne-amie-pinot-noir-yamhill-carlton-district-prism%C3%A9-blanc-2011,"['Oregon', 'Willamette Valley', 'Yamhill-Carlton District']",Wine Spectator,Other White Wines,379972,
2011,90,$27,Brut Willamette Valley Vintage,Argyle,"Light and appealing, with an airy texture and smoky, toasty watermelon and floral flavors, finishing with expressiveness and length. Drink now. 13,750 cases made.","Magazine Issue Feb 28, 2015",https://www.winespectator.com/wine/wine-detail/id/379896/name/argyle-brut-willamette-valley-vintage-2011,"['Oregon', 'Willamette Valley']",Wine Spectator,Other White Wines,379896,
2011,90,$26,Viognier Eola-Amity Hills,Cristom,"Crisp and lively, with a shot of acidity balancing the richness in this spicy, citrusy and floral white. Sleek finish. Drink now through 2016. 574 cases made.","Magazine Issue Jun 30, 2013",https://www.winespectator.com/wine/wine-detail/id/343712/name/cristom-viognier-eola-amity-hills-2011,"['Oregon', 'Willamette Valley', 'Eola-Amity Hills']",Wine Spectator,Other White Wines,343712,
2011,90,$30,Viognier Oregon,Penner-Ash,"Soft and appealing, with pretty pear and melon flavors, gently folding in hints of white pepper and orange blossom on the well-groomed finish. Drink now. 700 cases made.","Magazine Issue Feb 28, 2013",https://www.winespectator.com/wine/wine-detail/id/336534/name/penner-ash-viognier-oregon-2011,['Oregon'],Wine Spectator,Other White Wines,336534,
2011,90,$19,Pistoleta Rogue Valley,Quady North,"Polished and lively, this is a deft style that offers floral pear and passion fruit flavors, sliding smoothly into a gentle finish. Viognier, Roussanne and Marsanne. Drink now. 220 cases made.","Magazine Issue Feb 28, 2013",https://www.winespectator.com/wine/wine-detail/id/336582/name/quady-north-pistoleta-rogue-valley-2011,"['Oregon', 'Southern Oregon', 'Rogue Valley']",Wine Spectator,Other White Wines,336582,
2011,89,$28,Spiral 36 Applegate Valley,Cowhorn,"Polished, lively and appealing, with pear and floral flavors, picking up pretty pineapple notes as the finish lingers tartly. Viognier, Marsanne and Roussanne. Drink now. 500 cases made.","Magazine Issue Feb 28, 2013",https://www.winespectator.com/wine/wine-detail/id/336584/name/cowhorn-spiral-36-applegate-valley-2011,"['Oregon', 'Southern Oregon', 'Applegate Valley']",Wine Spectator,Other White Wines,336584,
2011,89,$30,Viognier Applegate Valley,Cowhorn,"Soft and velvety, with pretty spice and pear flavors, picking up floral notes as the finish lingers on a medium-weight frame. Drink now. 150 cases made.","Magazine Issue Feb 28, 2013",https://www.winespectator.com/wine/wine-detail/id/336710/name/cowhorn-viognier-applegate-valley-2011,"['Oregon', 'Southern Oregon', 'Applegate Valley']",Wine Spectator,Other White Wines,336710,
2011,89,$50,Blanc de Noir Oregon,Le Cadeau,"Alluring baked apple, strawberry and brioche aromas open to steely, crisp blanched almond and ginger flavors. Drink now. 175 cases made.",Magazine Issue Web Only - 2017,https://www.winespectator.com/wine/wine-detail/id/431000/name/le-cadeau-blanc-de-noir-oregon-2011,['Oregon'],Wine Spectator,Other White Wines,431000,
2011,89,$29,Viognier Oregon Reserve,Merrill,"Supple, round and spicy, this relatively delicate style offers layers of clove, nutmeg, pear, pineapple and floral flavors. Finishes with sleekness. Drink now. 100 cases made.","Magazine Issue Feb 28, 2015",https://www.winespectator.com/wine/wine-detail/id/378569/name/merrill-viognier-oregon-reserve-2011,['Oregon'],Wine Spectator,Other White Wines,378569,
2011,89,$20,Viognier Applegate Valley,Plaisance Ranch,"A supple style, with chamomile-accented pear and melon flavors, finishing with a touch of orange peel. Has richness without excess weight. Drink now. 300 cases made.","Magazine Issue Feb 28, 2014",https://www.winespectator.com/wine/wine-detail/id/359143/name/plaisance-ranch-viognier-applegate-valley-2011,"['Oregon', 'Southern Oregon', 'Applegate Valley']",Wine Spectator,Other White Wines,359143,
2011,89,$25,Arneis Willamette Valley,Ponzi,"Fresh and tangy, with zesty lime, mineral and floral flavors, lingering on the lively finish. Cries out for oysters. Drink now. 260 cases made.","Magazine Issue Feb 28, 2013",https://www.winespectator.com/wine/wine-detail/id/336535/name/ponzi-arneis-willamette-valley-2011,"['Oregon', 'Willamette Valley']",Wine Spectator,Other White Wines,336535,
2011,88,$30,Brut Yamhill-Carlton District Zero Dosage,Kramer,"Taut, lean and spicy, with clove and black pepper overtones to the lemon and slightly bitter grapefruit pith flavors, lingering on the steely finish. Drink now. 50 cases made.","Magazine Issue Feb 28, 2015",https://www.winespectator.com/wine/wine-detail/id/379951/name/kramer-brut-yamhill-carlton-district-zero-dosage-2011,"['Oregon', 'Willamette Valley', 'Yamhill-Carlton District']",Wine Spectator,Other White Wines,379951,
2011,90,$22,Pinot Blanc Chehalem Mountains Bryan Creek Vineyard,Adelsheim,"Crisp and tight, with juicy melon flavors and a hint of passion fruit to enliven the profile, finishing with a touch of wet stone. Drink now through 2015. 697 cases made.","Magazine Issue Feb 28, 2013",https://www.winespectator.com/wine/wine-detail/id/336706/name/adelsheim-pinot-blanc-chehalem-mountains-bryan-creek-vineyard-2011,"['Oregon', 'Willamette Valley', 'Chehalem Mountains']",Wine Spectator,Pinot Blanc,336706,
2011,88,$14,Pinot Blanc Oregon,Erath,"Light and refreshing, glowing with creamy pineapple and grapefruit flavors that get a lift from refined acidity. Drink now. 1,040 cases made.","Magazine Issue Feb 28, 2013",https://www.winespectator.com/wine/wine-detail/id/336520/name/erath-pinot-blanc-oregon-2011,['Oregon'],Wine Spectator,Pinot Blanc,336520,
2011,87,$18,Pinot Blanc Eola-Amity Hills Estate Grown,Bethel Heights,"Light and tangy, with grapefruit and floral flavors that linger on the taut finish. Drink now through 2014. 332 cases made.","Magazine Issue Feb 28, 2013",https://www.winespectator.com/wine/wine-detail/id/336509/name/bethel-heights-pinot-blanc-eola-amity-hills-estate-grown-2011,"['Oregon', 'Willamette Valley', 'Eola-Amity Hills']",Wine Spectator,Pinot Blanc,336509,
2011,87,$17,Pinot Blanc Dundee Hills,Eyrie,Spice and apple cider notes weave through the fresh pear core in this deftly balanced white. Drink now. 750 cases made.,"Magazine Issue Jun 30, 2013",https://www.winespectator.com/wine/wine-detail/id/343740/name/eyrie-pinot-blanc-dundee-hills-2011,"['Oregon', 'Willamette Valley', 'Dundee Hills']",Wine Spectator,Pinot Blanc,343740,
2011,87,$20,Pinot Blanc Willamette Valley Freedom Hill Vineyard,St. Innocent,"Fresh and inviting, with pineapple and melon flavors gliding through the finely textured finish. Drink now. 761 cases made.","Magazine Issue Feb 28, 2013",https://www.winespectator.com/wine/wine-detail/id/336704/name/st.-innocent-pinot-blanc-willamette-valley-freedom-hill-vineyard-2011,"['Oregon', 'Willamette Valley']",Wine Spectator,Pinot Blanc,336704,
2011,87,$21,Pinot Blanc Willamette Valley,WillaKenzie,"Light and fresh, with pretty pear and floral flavors, finishing with a citrusy zing. Drink now. 1,000 cases made.","Magazine Issue Feb 28, 2013",https://www.winespectator.com/wine/wine-detail/id/336519/name/willakenzie-pinot-blanc-willamette-valley-2011,"['Oregon', 'Willamette Valley']",Wine Spectator,Pinot Blanc,336519,
2011,86,$28,Pinot Blanc Dundee Hills Stoller Vineyards,Chehalem,"Light and tart, lean on balance, with apple and citrus flavors. Drink now. 112 cases made.","Magazine Issue Feb 28, 2013",https://www.winespectator.com/wine/wine-detail/id/336493/name/chehalem-pinot-blanc-dundee-hills-stoller-vineyards-2011,"['Oregon', 'Willamette Valley', 'Dundee Hills']",Wine Spectator,Pinot Blanc,336493,
2011,86,$22,Pinot Blanc Southern Oregon Quail Run,Erath,"Light and appealing, with modest apple and floral flavors, echoing delicately on the dry finish. Drink now. 180 cases made.","Magazine Issue Feb 28, 2013",https://www.winespectator.com/wine/wine-detail/id/336501/name/erath-pinot-blanc-southern-oregon-quail-run-2011,"['Oregon', 'Southern Oregon']",Wine Spectator,Pinot Blanc,336501,
2011,85,$19,Pinot Blanc Willamette Valley,Elk Cove,"Light and tart, with lime and lemon flavors on a racy frame. Drink now. 993 cases made.","Magazine Issue Feb 28, 2013",https://www.winespectator.com/wine/wine-detail/id/336516/name/elk-cove-pinot-blanc-willamette-valley-2011,"['Oregon', 'Willamette Valley']",Wine Spectator,Pinot Blanc,336516,
2011,84,$19,Pinot Blanc Willamette Valley,Benton-Lane,"Light and refreshing, with modest pear and lime flavors. Drink now. 330 cases made.","Magazine Issue Feb 28, 2014",https://www.winespectator.com/wine/wine-detail/id/357670/name/benton-lane-pinot-blanc-willamette-valley-2011,"['Oregon', 'Willamette Valley']",Wine Spectator,Pinot Blanc,357670,
2011,84,$26,Pinot Blanc Eola-Amity Hills,Z'ivo,"Light and sleek, with a racy, metallic edge to the grapefruit flavors. Drink now. 235 cases made.","Magazine Issue Jun 30, 2013",https://www.winespectator.com/wine/wine-detail/id/343760/name/z%27ivo-pinot-blanc-eola-amity-hills-2011,"['Oregon', 'Willamette Valley', 'Eola-Amity Hills']",Wine Spectator,Pinot Blanc,343760,
2011,90,$18,Pinot Gris Chehalem Mountains,Carabella,"Fresh and vibrant, with a lovely balance of fruit and savory flavors that touch on cantaloupe, lime, rosemary and wet stone, lingering easily on the expressive finish. Drink now through 2015. 900 cases made.","Magazine Issue Feb 28, 2013",https://www.winespectator.com/wine/wine-detail/id/336515/name/carabella-pinot-gris-chehalem-mountains-2011,"['Oregon', 'Willamette Valley', 'Chehalem Mountains']",Wine Spectator,Pinot Gris,336515,
2011,90,$29,Pinot Gris Ribbon Ridge Ridgecrest Vineyards,Chehalem,"Sleek and restrained, this is enticing for its pretty pear, melon and floral flavors, dancing lightly through the dry, delicate finish. Drink now through 2016. 200 cases made.","Magazine Issue Oct 31, 2013",https://www.winespectator.com/wine/wine-detail/id/351703/name/chehalem-pinot-gris-ribbon-ridge-ridgecrest-vineyards-2011,"['Oregon', 'Willamette Valley', 'Ribbon Ridge']",Wine Spectator,Pinot Gris,351703,
2011,90,$20,Pinot Gris Willamette Valley Renovação,Coelho,"Bright and jazzy, teeming with lemon, lemon blossom, white pepper and almond flavors that linger easily on the citrusy finish. Drink now. 494 cases made.","Magazine Issue Sep 30, 2012",https://www.winespectator.com/wine/wine-detail/id/327835/name/coelho-pinot-gris-willamette-valley-renova%C3%A7%C3%A3o-2011,"['Oregon', 'Willamette Valley']",Wine Spectator,Pinot Gris,327835,
2011,90,$17,Pinot Gris Willamette Valley,Cristom,"Fresh and juicy, with vibrant grapefruit, pear and floral flavors, finishing with intensity, length and deftness. Drink now through 2016. 982 cases made.","Magazine Issue Jun 30, 2013",https://www.winespectator.com/wine/wine-detail/id/343711/name/cristom-pinot-gris-willamette-valley-2011,"['Oregon', 'Willamette Valley']",Wine Spectator,Pinot Gris,343711,
